country,countryCode,rate,flag
United States,+1,0.0280,🇺🇸
Canada,+1-CA,0.0300,🇨🇦
United Kingdom,+44,0.0180,🇬🇧
Germany,+49,0.0100,🇩🇪
France,+33,0.0110,🇫🇷
Spain,+34,0.0120,🇪🇸
Italy,+39,0.0130,🇮🇹
Japan,+81,0.0320,🇯🇵
Australia,+61,0.0370,🇦🇺
India,+91,0.0200,🇮🇳
China,+86,0.0220,🇨🇳
Brazil,+55,0.0420,🇧🇷
Mexico,+52,0.0400,🇲🇽
Netherlands,+31,0.0090,🇳🇱
Sweden,+46,0.0100,🇸🇪
